Forecasted,LowBound,UpBound,Shut_Off,Forecast_Rolling,UpBound_Rolling,LowBound_Rolling,SO_Rolling
455.50022624407796,447.9315852639724,463.0688672241835,420.0,453.8314318473897,461.14027893432507,446.5225847604545,420.0
456.38500433160925,448.7680473722158,464.0019612910027,420.0,454.0713595551537,461.42714883397207,446.7155702763354,420.0
457.0806850028547,449.41571661829335,464.74565338741604,420.0,454.31148304822636,461.71429395844797,446.90867213800476,420.0
458.5733395928103,450.8606586483269,466.2860205372938,420.0,454.5518023266075,462.00171522060685,447.1018894326083,420.0
459.31374575087096,451.5536455990385,467.07384590270345,420.0,454.79231739029746,462.28941348936513,447.29522129122967,420.0
458.78161753732917,450.9743861854642,466.58884888919414,420.0,455.0330282392959,462.5773895918942,447.4886668866977,420.0
456.9666907491455,449.11261101969177,464.8207704785993,420.0,455.27393487360297,462.8656443156838,447.6822254315222,420.0
454.99442694197074,447.0937766262253,462.8950772577162,420.0,455.51503729321877,463.15417841048503,447.87589617595245,420.0
453.6714533428465,445.7245053483796,461.61840133731346,420.0,455.7563354981432,463.4429925901399,448.06967840614635,420.0
453.9346933959668,445.9417158880643,461.9276709038693,420.0,455.99782948837606,463.7320875343073,448.26357144244497,420.0
455.54315729437286,447.50441383180936,463.58190075693636,420.0,456.23951926391777,464.0214638900904,448.45757463774504,420.0
457.03181771336045,448.9394109443171,465.1242244824038,420.0,456.48140482476794,464.31110353738603,448.6517061121499,420.0
458.4052023979842,450.2625986383611,466.54780615760734,420.0,456.72348617092683,464.6010151151713,448.84595722668223,420.0
459.292329909219,451.10046800953137,467.48419180890664,420.0,456.96576330239424,464.8912009916633,449.04032561312516,420.0
459.99036000416794,451.7495343926852,468.2311856156507,420.0,457.2082362191704,465.1816620106829,449.2348104276579,420.0
461.48536401782707,453.1958639041781,469.774864131476,420.0,457.45090492125513,465.4723989768647,449.4294108656455,420.0
462.22811959959125,453.89022912840477,470.56601007077774,420.0,457.69376940864845,465.7634126575376,449.6241261597593,420.0
461.6983408097529,453.3123392067946,470.0843424127112,420.0,457.93682968135045,466.05470378449735,449.81895557820354,420.0
459.88576344527274,451.451925157747,468.3196017327985,420.0,458.180085739361,466.34627305568057,450.01389842304144,420.0
457.91584906180145,449.4344438931132,466.3972542304897,420.0,458.42353758268024,466.63812113674504,450.20895402861555,420.0
456.5952248863807,448.06651812563626,465.1239316471252,420.0,458.6671852113081,466.93024866256275,450.40412176005356,420.0
456.8608143632045,448.28506690971193,465.43656181669706,420.0,458.9110286252446,467.2226562386317,450.5994010118575,420.0
458.4716276853141,449.849096168329,467.0941592022992,420.0,459.15506782448966,467.51534444241196,450.7947912065675,420.0
459.9626375280052,451.2856236664114,468.63965138959895,420.0,459.3993028090434,467.80829668467817,450.99030893340864,420.0
